region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,vrs_raw_control_frontier,vrs_bc_control_frontier,control_frontier_degenerate_draws,control_frontier_all_draws_degenerate,is_control_unit
Kurdamir district,district,2002,,,27342.0,19577.0,9618.0,,22169.0,,,,,,,0.6403430580492855,0.597312907532914,0,False,True
Lachin district,district,2002,,,10308.0,7997.0,95.0,,11026.0,,,,,,,0.7938257280357022,0.6806177814005413,0,False,False
Lankaran district,district,2002,,,14964.0,14627.0,20.0,,16461.0,,,,,,,0.7452310141227423,0.6321694410313177,0,False,True
Lerik district,district,2002,,,15977.0,15547.0,11.0,,12351.0,,,,,,,0.4991710804574201,0.3979841161568084,0,False,True
Neftchala district,district,2002,,,16696.0,14371.0,5045.0,,17657.0,,,,,,,0.6874073638088125,0.6412850012049953,0,False,True
Oghuz district,district,2002,,,12454.0,10193.0,365.0,,13557.0,,,,,,,0.7693872438863512,0.6991858380586148,0,False,True
Ordubad district,district,2002,,,2987.0,2946.0,399.0,,3950.0,,,,,,,0.7053092924634922,0.5524531281776499,0,False,True
Saatli district,district,2002,,,24578.0,20668.0,5088.0,,24159.0,,,,,,,0.6632461937302015,0.6117119632654134,0,False,True
Sabirabad district,district,2002,,,39911.0,32389.0,5178.0,,44983.0,,,,,,,0.9999999999999954,0.22704278532508448,27,False,True
Sadarak district,district,2002,,,749.0,599.0,250.0,,1101.0,,,,,,,1.0000000000000007,0.36419892010594257,12,False,True
Salyan district,district,2002,,,26061.0,23510.0,7541.0,,32409.0,,,,,,,0.7897349206375889,0.7169010285981634,6,False,True
Samukh district,district,2002,,,7606.0,6531.0,1820.0,,8413.0,,,,,,,0.6790133767625727,0.6188068961332982,0,False,True
Shabran district,district,2002,,,10690.0,9150.0,4.0,,10747.0,,,,,,,0.8029441485371498,0.6372812419146772,0,False,True
Shahbuz district,district,2002,,,8593.0,8593.0,437.0,,10621.0,,,,,,,0.6778210508137213,0.6017291350858236,0,False,True
Shaki district,district,2002,,,26301.0,20118.0,1131.0,,32263.0,,,,,,,1.0,0.6843238315195397,6,False,True
Shamakhi district,district,2002,,,17718.0,16500.0,15.0,,19339.0,,,,,,,1.0000000000000004,0.3977748305275757,7,False,True
Shamkir district,district,2002,,,25184.0,24223.0,5730.0,,26403.0,,,,,,,0.6204655719525698,0.5694075295812887,0,False,True
Sharur district,district,2002,,,19610.0,19047.0,7028.0,,24495.0,,,,,,,0.7300810497685052,0.6769536797629112,0,False,True
Shusha district,district,2002,,,428.0,418.0,150.0,,940.0,,,,,,,1.5335910127356662,0.9708487696095527,25,False,False
Siyazan district,district,2002,,,4540.0,4096.0,10.0,,7838.0,,,,,,,1.0,0.7170126536653867,0,False,True
Tartar district,district,2002,,,9005.0,8444.0,1603.0,,9441.0,,,,,,,0.5968805410395013,0.5439349186474632,0,False,True
Tovuz district,district,2002,,,15270.0,14712.0,125.0,,22148.0,,,,,,,1.0,0.7109358535391708,2,False,True
